Rank,Player,Team,Bye,POS,AVG,
1,Christian McCaffrey,SF,9,RB1,1.5,
2,Justin Jefferson,MIN,13,WR1,1.5,
3,Austin Ekeler,WAS,14,RB2,3.5,
4,Ja'Marr Chase,CIN,7,WR2,4.5,
5,Travis Kelce,KC,10,TE1,5,
6,Tyreek Hill,MIA,10,WR3,6.5,
7,Bijan Robinson,ATL,11,RB3,6.5,
8,Saquon Barkley,PHI,10,RB4,8,
9,Nick Chubb,HU,7 O,RB5,8,
10,Stefon Diggs,NE,11,WR4,11,
11,CeeDee Lamb,DAL,7,WR5,12,
12,Patrick Mahomes II,KC,10,QB1,14,
13,A.J. Brown,PHI,10,WR6,14,
14,Derrick Henry,BAL,13,RB6,15,
15,Josh Jacobs,GB,6,RB7,15,
16,Tony Pollard,TEN,7,RB8,15.5,
17,Davante Adams,LAR,10,WR7,17,
18,Cooper Kupp,SEA,5,WR8,18,
19,Amon-Ra St. Brown,DET,9,WR9,18.5,
20,Josh Allen,BUF,13,QB2,18.5,
21,Garrett Wilson,NYJ,7,WR10,19,
22,Jalen Hurts,PHI,10,QB3,21.5,
23,Najee Harris,LAC,5,RB9,24,
24,Jaylen Waddle,MIA,10,WR11,24,
25,Chris Olave,NO,11,WR12,25,
26,Travis Etienne Jr.,JAC,9,RB10,26,
27,DeVonta Smith,PHI,10,WR13,28.5,
28,Mark Andrews,BAL,13,TE2,28.5,
29,Rhamondre Stevenson,NE,11,RB11,28.5,
30,Joe Mixon,HOU,7,RB12,30,
31,Jahmyr Gibbs,DET,9,RB13,31,
32,Lamar Jackson,BAL,13,QB4,32.5,
33,Tee Higgins,CIN,7,WR14,33.5,
34,Joe Burrow,CIN,7,QB5,34,
35,Calvin Ridley,TEN,7,WR15,34.5,
36,DK Metcalf,PIT,6,WR16,36,
37,Deebo Samuel Sr.,WAS,14,WR17,38.5,
38,Kenneth Walker III,SEA,5,RB14,38.5,
39,Dameon Pierce,KC,10,RB15,39.5,
40,Aaron Jones Sr.,MIN,13,RB16,39.5,
41,Justin Herbert,LAC,5,QB6,40,
42,Amari Cooper,,,WR18,42,
43,Keenan Allen,LAC,5,WR19,42.5,
44,Justin Fields,NYJ,7,QB7,45.5,
45,Breece Hall,NYJ,7,RB17,46.5,
46,T.J. Hockenson,MIN,13,TE3,46.5,
47,J.K. Dobbins,DEN,9,RB18,47.5,
48,Miles Sanders,DAL,7,RB19,49.5,
49,DJ Moore,CHI,13,WR20,51,
50,George Kittle,SF,9,TE4,51.5,
51,Alexander Mattison,MIA,10,RB20,51.5,
52,Darren Waller,MIA,10,TE5,53,
53,Terry McLaurin,WAS,14,WR21,54.5,
54,DeAndre Hopkins,BAL,13,WR22,55,
55,Trevor Lawrence,JAC,9,QB8,55,
56,Jonathan Taylor,IND,11,RB21,57,
57,Cam Akers,SEA,5,RB22,57.5,
58,Christian Watson,GB,6,WR23,58,
59,Javonte Williams,DAL,7,RB23,62,
60,James Cook III,BUF,13,RB24,62.5,
61,Rachaad White,TB,5,RB25,62.5,
62,James Conner,ARI,14,RB26,62.5,
63,Mike Williams ,,,WR24,63,
64,Alvin Kamara,NO,11,RB27,63,
65,Dalvin Cook,,,RB28,64,
66,Drake London,ATL,11,WR25,64,
67,Brandon Aiyuk,SF,9,WR26,65,
68,D'Andre Swift,CHI,13,RB29,67,
69,Chris Godwin Jr.,TB,5,WR27,67,
70,Dallas Goedert,PHI,10,TE6,68,
71,Kyle Pitts Sr.,ATL,11,TE7,69,
72,Tyler Lockett,LV,13,WR28,70,
73,Christian Kirk,HU,7 O,WR29,71.5,
74,Isiah Pacheco,KC,10,RB30,71.5,
75,George Pickens,DAL,7,WR30,75,
76,David Montgomery,DET,9,RB31,75.5,
77,Diontae Johnson,,,WR31,77.5,
78,Mike Evans,TB,5,WR32,77.5,
79,Jerry Jeudy,CLE,5,WR33,77.5,
80,Michael Pittman Jr.,IND,11,WR34,79,
81,A.J. Dillon,PHI,10,RB32,83,
82,Deshaun Watson,CLE,5,QB9,84,
83,Evan Engram,DEN,9,TE8,85.5,
84,Jordan Addison,MIN,13,WR35,86,
85,Marquise Brown,KC,10,WR36,86.5,
86,Khalil Herbert,NYJ,7,RB33,87,
87,Jahan Dotson,PHI,10,WR37,87,
88,Dak Prescott,DAL,7,QB10,88,
89,Antonio Gibson,NE,11,RB34,88.5,
90,Pat Freiermuth,PIT,6,TE9,89,
91,Jaxon Smith-Njigba,SEA,5,WR38,90.5,
92,Brian Robinson Jr.,SF,9,RB35,91.5,
93,Tua Tagovailoa,MIA,10,QB11,96,
94,David Njoku,CLE,5,TE10,97.5,
95,Jamaal Williams,,,RB36,97.5,
96,Brandin Cooks,BUF,13,WR39,98.5,
97,Gabe Davis,BUF,13,WR40,98.5,
98,Zach Charbonnet,SEA,5,RB37,101.5,
99,Aaron Rodgers,PIT,6,QB12,102.5,
100,Courtland Sutton,DEN,9,WR41,104,
101,Zay Flowers,BAL,13,WR42,105,
102,San Francisco 49ers,DST,9,DST1,106,
103,Michael Thomas,,,WR43,107,
104,Samaje Perine,CIN,7,RB38,108.5,
105,Kirk Cousins,ATL,11,QB13,109,
106,Justin Tucker,,,K1,109.5,
107,Rashaad Penny,,,RB39,110,
108,Anthony Richardson Sr.,IND,11,QB14,110,
109,De'Von Achane,MIA,10,RB40,111,
110,Dalton Kincaid,BUF,13,TE11,112.5,
111,Kadarius Toney,,,WR44,113.5,
112,JuJu Smith-Schuster,KC,10,WR45,113.5,
113,Odell Beckham Jr.,,,WR46,114.5,
114,Raheem Mostert,LV,13,RB41,115,
115,Daniel Jones,IND,11,QB15,115.5,
116,Skyy Moore,SF,9,WR47,117,
117,Philadelphia Eagles,DST,10,DST2,117.5,
118,Treylon Burks,WAS,14,WR48,119,
119,Elijah Mitchell,KC,10,RB42,120.5,
120,Elijah Moore,DEN,9,WR49,121,
121,Jaylen Warren,PIT,6,RB43,121.5,
122,Quentin Johnston,LAC,5,WR50,121.5,
123,Geno Smith,LV,13,QB16,121.5,
124,Ezekiel Elliott,,,RB44,123.5,
125,Dalton Schultz,HOU,7,TE12,124.5,
126,Damien Harris,,,RB45,125.5,
127,Dallas Cowboys,DST,7,DST3,127,
128,Jared Goff,DET,9,QB17,128,
129,Tank Bigsby,PHI,10,RB46,130,
130,Adam Thielen,PIT,6,WR51,130,
131,Jerick McKinnon,,,RB47,130.5,
132,Allen Lazard,NYJ,7,WR52,132.5,
133,Cole Kmet,CHI,13,TE13,138.5,
134,Tyler Allgeier,ATL,11,RB48,138.5,
135,Buffalo Bills,DST,13,DST4,139.5,
136,Daniel Carlson,LV,13,K2,142.5,
137,Tyler Higbee,LAR,10,TE14,143.5,
138,Chig Okonkwo,TEN,7,TE15,144.5,
139,Romeo Doubs,GB,6,WR53,145.5,
140,Evan McPherson,CIN,7,K3,147.5,
141,Tyler Bass,BUF,13,K4,148,
142,D,'Onta Foreman,,,RB49,149.5
143,New England Patriots,DST,11,DST5,150,
144,Rashod Bateman,BAL,13,WR54,151,
145,Russell Wilson,NYG,13,QB18,152,
146,Jameson Williams,DET,9,WR55,152,
147,Sam LaPorta,DET,9,TE16,152.5,
148,Harrison Butker,KC,10,K5,153,
149,New York Jets,DST,7,DST6,154,
150,Roschon Johnson,CHI,13,RB50,154,
151,Derek Carr,,,QB19,156,
152,Kenneth Gainwell,PIT,6,RB51,157,
153,Kareem Hunt,KC,10,RB52,157.5,
154,Jalin Hyatt,NYG,13,WR56,159,
155,Brock Purdy,SF,9,QB20,159.5,
156,Baltimore Ravens,DST,13,DST7,160,
157,Juwan Johnson,NO,11,TE17,160.5,
158,Devin Singletary,NYG,13,RB53,161.5,
159,Deuce Vaughn,DEN,9,RB54,161.5,
160,Kenny Pickett,LV,13,QB21,162,
161,Nico Collins,HOU,7,WR57,162.5,
162,Jordan Love,GB,6,QB22,163,
163,Jakobi Meyers,JAC,9,WR58,163.5,
164,Tyler Boyd,,,WR59,163.5,
165,Tyjae Spears,TEN,7,RB55,168,
166,Kendre Miller,NO,11,RB56,169,
167,Marvin Mims Jr.,DEN,9,WR60,169.5,
168,Greg Dulcich,MIA,10,TE18,170,
169,Darnell Mooney,ATL,11,WR61,170.5,
170,Younghoe Koo,NYG,13,K6,172,
171,Deon Jackson,,,RB57,172,
172,Rashee Rice,KC,10,WR62,174.5,
