Rank,Player,Team,Bye,POS,ADP
99,Aaron Rodgers,PIT,6,QB12,102.5
187,Matthew Stafford,LAR,10,QB25,189
350,Blaine Gabbert,JAX,10,QB49,315
145,Russell Wilson,NYG,13,QB18,152
328,Marvin Jones Jr.,JAX,10,WR103,297
105,Kirk Cousins,ATL,11,QB13,109
220,Ryan Tannehill,TEN,7,QB29,219.5
130,Adam Thielen,PIT,6,WR51,130
236,Zach Ertz,WAS,14,TE27,233.5
43,Keenan Allen,LAC,5,WR19,42.5
295,Robert Woods,LAR,10,WR95,270
5,Travis Kelce,KC,10,TE1,5
301,Latavius Murray,NO,11,RB84,276
54,DeAndre Hopkins,BAL,13,WR22,55
123,Geno Smith,LV,13,QB16,121.5
205,Cordarrelle Patterson,MIN,13,RB63,205.5
113,Odell Beckham,CLE,5,WR46,114.5
96,Brandin Cooks,BUF,13,WR39,98.5
291,Logan Thomas,WAS,14,TE36,267
151,Derek Carr,NO,11,QB19,156
200,Jimmy Garoppolo,LAR,10,QB28,202.5
131,Jerick McKinnon,KC,10,RB47,130.5
17,Davante Adams,LAR,10,WR7,17
78,Mike Evans,TB,5,WR32,77.5
298,Allen Robinson,CHI,13,WR97,288.5
42,Amari Cooper,CLE,5,WR18,42
243,DeVante Parker,MIA,10,WR78,245
10,Stefon Diggs,NE,11,WR4,11
52,Darren Waller,MIA,10,TE5,53
114,Raheem Mostert,LV,13,RB41,115
72,Tyler Lockett,LV,13,WR28,70
14,Derrick Henry,BAL,13,RB6,15
103,Michael Thomas,NO,11,WR43,107
164,Tyler Boyd,CIN,7,WR59,163.5
6,Tyreek Hill,MIA,10,WR3,6.5
124,Ezekiel Elliott,DAL,7,RB44,123.5
88,Dak Prescott,DAL,7,QB10,88
260,Hunter Henry,NE,11,TE30,222
128,Jared Goff,DET,9,QB17,128
137,Tyler Higbee,LAR,10,TE14,143.5
1,Christian McCaffrey,SF,9,RB1,1.5
244,Curtis Samuel,BUF,13,WR79,245.5
50,George Kittle,SF,9,TE4,51.5
40,Aaron Jones,MIN,13,RB16,39.5
331,Matt Breida,NYG,13,RB91,299
199,Taysom Hill,NO,11,TE21,202.5
104,Samaje Perine,CIN,7,RB38,108.5
63,Mike Williams,LAC,5,WR24,63
82,Deshaun Watson,CLE,5,QB9,84
62,James Conner,ARI,14,RB26,62.5
326,Mack Hollins,NE,11,WR102,296
3,Austin Ekeler,WAS,14,RB2,3.5
112,JuJu Smith-Schuster,KC,10,WR45,113.5
12,Patrick Mahomes,KC,10,QB1,14
83,Evan Engram,DEN,9,TE8,85.5
94,David Njoku,CLE,5,TE10,97.5
181,Zay Jones,ARI,14,WR64,182.5
65,Dalvin Cook,MIN,13,RB28,64
188,Gerald Everett,SEA,5,TE20,190
30,Joe Mixon,HOU,7,RB12,30
64,Alvin Kamara,NO,11,RB27,63
18,Cooper Kupp,SEA,5,WR8,18
69,Chris Godwin,TB,5,WR27,67
153,Kareem Hunt,KC,10,RB52,157.5
142,D'onta Foreman,CLE,5,RB49,149.5
325,Josh Reynolds,NYJ,7,WR101,295
95,Jamaal Williams,NO,11,RB36,97.5
257,Joshua Dobbs,NE,11,QB34,216
265,Jeff Wilson,MIA,10,RB72,236
194,Gus Edwards,BAL,13,RB60,199
241,Tyler Conklin,LAC,5,TE28,243
214,Marquez Valdes-Scantling,PIT,6,WR72,214
254,Richie James,KC,10,WR85,213
100,Courtland Sutton,DEN,9,WR41,104
70,Dallas Goedert,PHI,10,TE6,68
125,Dalton Schultz,HOU,7,TE12,124.5
341,Justin Watson,HOU,7,WR105,305
289,Mike White,CAR,7,QB39,264
132,Allen Lazard,NYJ,7,WR52,132.5
270,Chase Edmonds,WAS,14,RB76,245
107,Rashaad Penny,PHI,10,RB39,110
28,Mark Andrews,BAL,13,TE2,28.5
203,Michael Gallup,DAL,7,WR69,204
73,Christian Kirk,HOU,7,WR29,71.5
228,D.J. Chark,JAX,10,WR75,226.5
9,Nick Chubb,HU,7,RB5,8
32,Lamar Jackson,BAL,13,QB4,32.5
49,D.J. Moore,CHI,13,WR20,51
229,Mike Gesicki,CIN,7,TE25,227.5
263,Hayden Hurst,ATL,11,TE31,231
35,Calvin Ridley,TEN,7,WR15,34.5
8,Saquon Barkley,PHI,10,RB4,8
226,Baker Mayfield,TB,5,QB30,225.5
20,Josh Allen,BUF,13,QB2,18.5
280,Sam Darnold,SEA,5,QB37,257
163,Jakobi Meyers,JAC,9,WR58,163.5
212,Irv Smith Jr.,MIN,13,TE23,212
51,Alexander Mattison,MIA,10,RB20,51.5
240,Hunter Renfrow,CAR,7,WR77,242.5
248,Mecole Hardman,BUF,13,WR82,250
77,Diontae Johnson,PIT,6,WR31,77.5
196,Kyler Murray,ARI,14,QB27,199.5
46,T.J. Hockenson,MIN,13,TE3,46.5
48,Miles Sanders,DAL,7,RB19,49.5
158,Devin Singletary,NYG,13,RB53,161.5
16,Tony Pollard,TEN,7,RB8,15.5
292,Scotty Miller,PIT,6,WR93,267
273,Darius Slayton,NYG,13,WR90,247
251,Parris Campbell,DAL,7,WR83,202
36,DK Metcalf,PIT,6,WR16,36
275,Noah Fant,CIN,7,TE34,276.5
126,Damien Harris,NE,11,RB45,125.5
53,Terry McLaurin,WAS,14,WR21,54.5
85,Marquise Brown,KC,10,WR36,86.5
13,A.J. Brown,PHI,10,WR6,14
76,David Montgomery,DET,9,RB31,75.5
230,Dawson Knox,BUF,13,TE26,228.5
15,Josh Jacobs,GB,6,RB7,15
115,Daniel Jones,IND,11,QB15,115.5
37,Deebo Samuel,WAS,14,WR17,38.5
314,Salvon Ahmed,IND,11,RB86,285
157,Juwan Johnson,NO,11,TE17,160.5
309,Rico Dowdle,CAR,7,RB85,281
47,J.K. Dobbins,DEN,9,RB18,47.5
233,Isaiah Hodgins,NYG,13,WR76,232
97,Gabe Davis,BUF,13,WR40,98.5
93,Tua Tagovailoa,MIA,10,QB11,96
56,Jonathan Taylor,IND,11,RB21,57
189,Donovan Peoples-Jones,CLE,5,WR67,190.5
192,Zack Moss,IND,11,RB59,193.5
80,Michael Pittman,IND,11,WR34,79
67,Brandon Aiyuk,SF,9,WR26,65
162,Jordan Love,GB,6,QB22,163
81,A.J. Dillon,PHI,10,RB32,83
68,D'Andre Swift,CHI,13,RB29,67
133,Cole Kmet,CHI,13,TE13,138.5
169,Darnell Mooney,ATL,11,WR61,170.5
2,Justin Jefferson,MIN,13,WR1,1.5
284,Chase Claypool,PIT,6,WR91,260
89,Antonio Gibson,NE,11,RB34,88.5
197,K.J. Osborn,ATL,11,WR68,200.5
41,Justin Herbert,LAC,5,QB6,40
11,CeeDee Lamb,DAL,7,WR5,12
202,Clyde Edwards-Helaire,KC,10,RB61,202.5
204,Joshua Kelley,LAC,5,RB62,204.5
22,Jalen Hurts,PHI,10,QB3,21.5
79,Jerry Jeudy,CLE,5,WR33,77.5
33,Tee Higgins,CIN,7,WR14,33.5
57,Cam Akers,SEA,5,RB22,57.5
183,Van Jefferson,TEN,7,WR65,185
34,Joe Burrow,CIN,7,QB5,34
171,Deon Jackson,IND,11,RB57,172
144,Rashod Bateman,BAL,13,WR54,151
161,Nico Collins,HOU,7,WR57,162.5
176,Chuba Hubbard,CAR,7,RB58,178.5
119,Elijah Mitchell,KC,10,RB42,120.5
24,Jaylen Waddle,MIA,10,WR11,24
319,Chris Evans,CIN,7,RB87,289
29,Rhamondre Stevenson,NE,11,RB11,28.5
23,Najee Harris,LAC,5,RB9,24
90,Pat Freiermuth,PIT,6,TE9,89
4,Ja'Marr Chase,CIN,7,WR2,4.5
86,Khalil Herbert,NYJ,7,RB33,87
27,DeVonta Smith,PHI,10,WR13,28.5
111,Kadarius Toney,KC,10,WR44,113.5
152,Kenneth Gainwell,PIT,6,RB51,157
287,Michael Carter,ARI,14,RB82,283.5
258,Kyle Trask,ATL,11,QB35,220
186,Rondale Moore,MIN,13,WR66,188
44,Justin Fields,NYJ,7,QB7,45.5
19,Amon-Ra St. Brown,DET,9,WR9,18.5
71,Kyle Pitts,ATL,11,TE7,69
55,Trevor Lawrence,JAC,9,QB8,55
231,Mac Jones,SF,9,QB31,229.5
26,Travis Etienne,JAC,9,RB10,26
120,Elijah Moore,DEN,9,WR49,121
271,Joshua Palmer,BUF,13,WR88,246
59,Javonte Williams,DAL,7,RB23,62
345,Zach Wilson,MIA,10,QB47,310
185,Sam Howell,PHI,10,QB24,187
74,Isiah Pacheco,KC,10,RB30,71.5
224,Justyn Ross,KC,10,WR74,222.5
121,Jaylen Warren,PIT,6,RB43,121.5
66,Drake London,ATL,11,WR25,64
25,Chris Olave,NO,11,WR12,25
146,Jameson Williams,DET,9,WR55,152
75,George Pickens,DAL,7,WR30,75
60,James Cook,BUF,13,RB24,62.5
168,Greg Dulcich,MIA,10,TE18,170
61,Rachaad White,TB,5,RB25,62.5
39,Dameon Pierce,KC,10,RB15,39.5
294,Khalil Shakir,BUF,13,WR94,287
134,Tyler Allgeier,ATL,11,RB48,138.5
221,Jerome Ford,CLE,5,RB68,219.5
211,Ty Chandler,MIN,13,RB65,211.5
269,Keaontay Ingram,KC,10,RB75,272.5
338,Raheem Blackshear,CAR,7,RB93,303
246,Rashid Shaheed,SEA,5,WR80,249
247,John Metchie,NYJ,7,WR81,249.5
210,Alec Pierce,IND,11,WR70,211
21,Garrett Wilson,NYJ,7,WR10,19
87,Jahan Dotson,PHI,10,WR37,87
118,Treylon Burks,WAS,14,WR48,119
264,Trey McBride,ARI,14,TE32,268.5
92,Brian Robinson,SF,9,RB35,91.5
138,Chig Okonkwo,TEN,7,TE15,144.5
139,Romeo Doubs,GB,6,WR53,145.5
155,Brock Purdy,SF,9,QB20,159.5
252,Isaiah Likely,BAL,13,TE29,256.5
249,Kyren Williams,LAR,10,RB71,196
209,Zamir White,LV,13,RB64,208
206,Jake Ferguson,DAL,7,TE22,206
116,Skyy Moore,SF,9,WR47,117
160,Kenny Pickett,LV,13,QB21,162
322,Tyquan Thornton,KC,10,WR100,292
253,Wan'Dale Robinson,NYG,13,WR84,258.5
45,Breece Hall,NYJ,7,RB17,46.5
237,Desmond Ridder,ARI,14,QB32,234
58,Christian Watson,GB,6,WR23,58
274,Cade Otton,TB,5,TE33,276
38,Kenneth Walker,SEA,5,RB14,38.5
277,Israel Abanikanda,DAL,7,RB78,250
225,Evan Hull,NO,11,RB69,223
290,Tommy DeVito,NE,11,QB40,266
7,Bijan Robinson,ATL,11,RB3,6.5
91,Jaxon Smith-Njigba,SEA,5,WR38,90.5
122,Quentin Johnston,LAC,5,WR50,121.5
307,Luke Schoonmaker,DAL,7,TE39,279
166,Kendre Miller,NO,11,RB56,169
129,Tank Bigsby,PHI,10,RB46,130
267,Michael Wilson,ARI,14,WR87,271.5
255,Aidan O'Connell,LV,13,QB33,215
262,Clayton Tune,GB,6,QB36,229
215,Chase Brown,CIN,7,RB66,214.5
159,Deuce Vaughn,DEN,9,RB54,161.5
276,Jaleel McLaughlin,DEN,9,RB77,249
110,Dalton Kincaid,BUF,13,TE11,112.5
154,Jalin Hyatt,NYG,13,WR56,159
218,Sean Tucker,TB,5,RB67,217
167,Marvin Mims,DEN,9,WR60,169.5
217,Tank Dell,HOU,7,WR73,216
306,Cedric Tillman,CLE,5,WR99,278
84,Jordan Addison,MIN,13,WR35,86
261,Josh Downs,IND,11,WR86,264
150,Roschon Johnson,CHI,13,RB50,154
165,Tyjae Spears,TEN,7,RB55,168
109,De'Von Achane,MIA,10,RB40,111
333,Trey Palmer,NO,11,WR104,300
180,Jonathan Mingo,DAL,7,WR63,182
101,Zay Flowers,BAL,13,WR42,105
147,Sam LaPorta,DET,9,TE16,152.5
136,K,'aimi Fairbairn,7,K1,142.5
219,Michael Mayer,LV,13,TE24,218
172,Rashee Rice,KC,10,WR62,174.5
